citedAuthor,n
A Ambrose,A Ambrose
A Grunbaum,A Grunbaum
A Tormey,A Tormey
Aj Leggett,A Leggett
Alvini Goldman,A Goldman
B Benacerraf,P Benacerraf
B Shaughnessy,B O'Shaughnessy
B Vermazen,B Vermazen
Barbarahall Partee,B Partee
Bd Kim,J Kim
C Dennett,D Dennett
C Hartshorne,C Hartshorne
C Raff,C Raff
Charlesh Kahn,C Kahn
D Allen,D Allen
D Blumenthal,D Blumenthal
D Gottleib,D Gottleib
D Louis,D Lewis
D Sedey,D Sedey
Dalen Van,D Van
Dana Scott,D Scott
Danielc Dennett,D Dennett
Davidk Lewis,D Lewis
Dc Blumenfeld,D Blumenfeld
Dlewis Causation,D Lewis
Dm Gabbay,D Gabbay
Eb Allaire,E Allaire
F Cowley,F Cowley
F Frankfurt,H Frankfurt
Frederick Olafson,F Olafson
G Bowie,G Bowie
G Frege,G Frege
Georg Kreisel,G Kreisel
H Kahane,H Kahane
H Putman,H Putnam
H Silverstein,H Silverstein
Hector-Neri Castaneda,H-NCastaneda
Henry Shue,H Shue
I Valdner,I Valdner
Ian Hacking,I Hacking
J Jarvis,JJ Thomson
J Lamb,J Lamb
Ja Hart,H Hart
Jaegwen Kim,J Kim
Jf Post,J Post
Jm Cooper,J Cooper
Joseph Randall,J Randall
Joseph Ullian,J Ullian
Ks Donellan,K Donnellan
Kt Arrow,K Arrow
Lawrence Sklar,L Sklar
M Dummett,M Dummett
M Hocutt,M Hocutt
M Levin,M Levin
Ma Arbib,M Arbib
Marcus Barcan,R Marcus
Mi Friedman,M Friedman
Michael Frede,M Frede
Micheal Friedman,M Friedman
N Kretzmann,N Kretzmann
Na Audi,R Audi
Na Berofsky,B Berofsky
Na Brand,M Brand
Na Burge,T Burge
Na Castaneda,H-N Castaneda
Na Causey,R Causey
Na Church,A Church
Na Dancy,J Dancy
Na Devitt,M Devitt
Na Donnellan,K Donnellan
Na Dworkin,R Dworkin
Na Gewirth,R Gewirth
Na Goodman,N Goodman
Na Kahane,H Kahane
Na Klein,P Klein
Na Levi,I Levi
Na Montauge,R Montague
Na Nagel,T Nagel
Na Nickles,A Nickles
Na O'shaughnessy,B O'Shaughnessy
Na O'shaugnessy,B O'Shaughnessy
Na Partee,B Partee
Na Penelhum,T Penelhum
Na Perry,J Perry
Na Pilon,Na Pilon
Na Rescher,N Rescher
Na Schuldenfrei,Na Schuldenfrei
Na Sellars,W Sellars
Na Sleigh,R Sleigh
Na Slote,M Slote
Na Smith,D Smith
Na Solomon,R Solomon
Na Sosa,E Sosa
Na Stern,K Stern
Na Swain,M Swain
Na Thomson,JJ Thomson
Na Wade,F Wade
Nagel Thomas,T Nagel
P Benaceraf,P Benacerraf
P Benacerraff,P Benacerraf
P Parsons,T Parsons
P Teller,P Teller
Ph Allen,P Allen
Pt Geach,P Geach
R Dancy,J Dancy
R Greenberg,R Greenberg
R Mcintyre,R Mcintyre
R Rescher,N Rescher
R Trenholme,R Trenholme
Rc Sleigh,R Sleigh
S Boer,S Boer
S Stitch,S Stich
Sp Stich,S Stich
V Gou,V Gou
W Goldfarb,W Goldfarb
W Hart,W Hart
W Thomson,W Thomson
Warren Quinn,W Quinn
Wg Lycan,W Lycan
Z Vendler,Z Vendler